1,,,,select,,select,select,,First Name cannot be empty,Last Name cannot be empty,Billing Address cannot be empty,Please select a card type,Card number should be a 16-digit number,Please select a Expiry year,Please select a Expiry month,cvv should be a 3-digit number,Please correct the following errors
2,n,,,select,,select,select,,Firstname should be between 2 and 30 characters long,Last Name cannot be empty,Billing Address cannot be empty,Please select a card type,Card number should be a 16-digit number,Please select a Expiry year,Please select a Expiry month,cvv should be a 3-digit number,Please correct the following errors
3,ni,,,select,,select,select,,,Last Name cannot be empty,Billing Address cannot be empty,Please select a card type,Card number should be a 16-digit number,Please select a Expiry year,Please select a Expiry month,cvv should be a 3-digit number,Please correct the following errors
4,nishadnishadnishadnishadnishad,,,select,,select,select,,,Last Name cannot be empty,Billing Address cannot be empty,Please select a card type,Card number should be a 16-digit number,Please select a Expiry year,Please select a Expiry month,cvv should be a 3-digit number,Please correct the following errors
5,nishadnishadnishadnishadnishadd,,,select,,select,select,,Firstname should be between 2 and 30 characters long,Last Name cannot be empty,Billing Address cannot be empty,Please select a card type,Card number should be a 16-digit number,Please select a Expiry year,Please select a Expiry month,cvv should be a 3-digit number,Please correct the following errors
6,1234,,,select,,select,select,,First name should only have alphabets,Last Name cannot be empty,Billing Address cannot be empty,Please select a card type,Card number should be a 16-digit number,Please select a Expiry year,Please select a Expiry month,cvv should be a 3-digit number,Please correct the following errors
7,nish1234,,,select,,select,select,,First name should only have alphabets,Last Name cannot be empty,Billing Address cannot be empty,Please select a card type,Card number should be a 16-digit number,Please select a Expiry year,Please select a Expiry month,cvv should be a 3-digit number,Please correct the following errors
8,nishad,,,select,,select,select,,,Last Name cannot be empty,Billing Address cannot be empty,Please select a card type,Card number should be a 16-digit number,Please select a Expiry year,Please select a Expiry month,cvv should be a 3-digit number,Please correct the following errors
9,NISHAD,,,select,,select,select,,,Last Name cannot be empty,Billing Address cannot be empty,Please select a card type,Card number should be a 16-digit number,Please select a Expiry year,Please select a Expiry month,cvv should be a 3-digit number,Please correct the following errors
10,Nishad,l,,select,,select,select,,,Lastname name should be between 2 and 30 characters long,Billing Address cannot be empty,Please select a card type,Card number should be a 16-digit number,Please select a Expiry year,Please select a Expiry month,cvv should be a 3-digit number,Please correct the following errors
